name,party,dim1_imp,dim1_dc
Klaus-Peter Willsch,CDU/CSU,0.02966860061161276,0.04549235853216488
Knut Abraham,CDU/CSU,0.029332550332813383,0.0582357894760521
Lars Rohwer,CDU/CSU,0.02856601203613723,0.05722867177013292
Manfred Grund,CDU/CSU,0.030871627025937647,0.038108474494797845
Marc Biadacz,CDU/CSU,0.029009154636725716,0.056759741083255204
Marc Henrichmann,CDU/CSU,0.0295077755647765,0.056691149497230316
Marco Wanderwitz,CDU/CSU,0.02802330942450949,0.046040951744346914
Mareike Lotte Wulf,CDU/CSU,0.028955461330173744,0.05710417623777717
Maria-Lena Weiss,CDU/CSU,0.028998216213631932,0.051772827805530136
Mario Czaja,CDU/CSU,0.028445193865155895,0.05088561671463323
Mark Helfrich,CDU/CSU,0.02950489933760566,0.05202679095259797
Markus Grübel,CDU/CSU,0.029992195218963808,0.05078370605538522
Markus Koob,CDU/CSU,0.029455085285685478,0.05214050548079826
Markus Reichel,CDU/CSU,0.028950794839035978,0.05842995185123224
Markus Uhl,CDU/CSU,0.029797166866946116,0.05673821881391942
Marlon Bröhr,CDU/CSU,0.030016806908301094,0.05421357142433638
Martin Plum,CDU/CSU,0.029179442727851824,0.05726497424214452
Martina Englhardt-Kopf,CDU/CSU,0.029043496825717257,0.05644620180442192
Mathias Middelberg,CDU/CSU,0.029838975386633996,0.0513884754850946
Matthias Hauer,CDU/CSU,0.029146365842098846,0.058508078444458815
Max Straubinger,CDU/CSU,0.02760373518024819,0.052981540296880174
Maximilian Mörseburg,CDU/CSU,0.029784118639461243,0.0565145070830722
Mechthild Heil,CDU/CSU,0.03159881046499861,0.042453810549676924
Mechthilde Wittmann,CDU/CSU,0.02915945750024882,0.05628613665985853
Melanie Bernstein,CDU/CSU,0.031695584829813966,0.03305931358837285
Michael Brand,CDU/CSU,0.030296405284285538,0.04686754562711646
Michael Breilmann,CDU/CSU,0.029987773827765192,0.05091758341317507
Michael Donth,CDU/CSU,0.0293735225161514,0.056999386705582675
Michael Frieser,CDU/CSU,0.02770057432430832,0.04504501741338284
Michael Grosse-Brömer,CDU/CSU,0.029434096093133095,0.04867821990209394
Michael Hennrich,CDU/CSU,0.026618779342185962,0.02155878497519345
Michael Kießling,CDU/CSU,0.029602787850869304,0.05655841229145179
Michael Meister,CDU/CSU,0.029419467531781235,0.058489576261659265
Monika Grütters,CDU/CSU,0.028890771336435455,0.04802319345700548
Moritz Oppelt,CDU/CSU,0.029669582069966116,0.05020871718694011
Nadine Schön,CDU/CSU,0.030036870556771497,0.05039441421210665
