name,party,dim1,dim2
Fabian Gramling,CDU/CSU,0.05237620015619221,0.03212985963712644
Felix Schreiner,CDU/CSU,0.05486447889153815,0.031614998370457406
Florian Hahn,CDU/CSU,0.051599329372423175,0.030337605980598936
Florian Müller,CDU/CSU,0.05195195697801335,0.03164548499731396
Florian Oßner,CDU/CSU,0.05677595077340102,0.03521727353092054
Franziska Hoppermann,CDU/CSU,0.056971062238122275,0.03391201260575698
Friedrich Merz,CDU/CSU,0.056097516376665234,0.03192660769721451
Fritz Güntzler,CDU/CSU,0.05291755719886042,0.028860408745469246
Georg Kippels,CDU/CSU,0.05523504162581783,0.03763603627194323
Gero Storjohann,CDU/CSU,0.004374515522619218,0.00397517876614932
Gitta Connemann,CDU/CSU,0.05132983951811697,0.029623117586678994
Gunther Krichbaum,CDU/CSU,0.05297213937966614,0.031142990924523595
Günter Krings,CDU/CSU,0.05037507465270501,0.031877577595415145
Hans-Jürgen Thies,CDU/CSU,0.05434824665464359,0.03205252763015051
Hans-Peter Friedrich,CDU/CSU,0.039165590012062455,0.016035938200467233
Hansjörg Durz,CDU/CSU,0.05785190472678431,0.036597844277717125
Heike Brehmer,CDU/CSU,0.03657080608830932,0.017980342140974395
Helge Braun,CDU/CSU,0.052325425052920975,0.03324371679778283
Hendrik Hoppenstedt,CDU/CSU,0.046336301378503655,0.03423023586801037
Henning Otte,CDU/CSU,0.05072893339583237,0.032647743706777886
Henning Rehbaum,CDU/CSU,0.052558583142630566,0.0342140384175025
Hermann Färber,CDU/CSU,0.051514340019229166,0.03154617336022904
Hermann Gröhe,CDU/CSU,0.05571429850182879,0.035030034664160055
Hermann-Josef Tebroke,CDU/CSU,0.056556012414388186,0.03530192948490933
Hubert Hüppe,CDU/CSU,0.05342183328546129,0.03645573715622286
Inge Gräßle,CDU/CSU,0.04974176637474659,0.03325719273859075
Ingmar Jung,CDU/CSU,0.03450319002115472,0.02374920608671715
Ingo Gädechens,CDU/CSU,0.05417827078959233,0.032284622454763844
Ingo Wellenreuther,CDU/CSU,0.002318210922435151,-0.002741891320375286
Ingrid Pahlmann,CDU/CSU,0.017237873098775447,0.008973313060528544
Jan Metzler,CDU/CSU,0.058015087153437055,0.03631815203701851
Jan-Marco Luczak,CDU/CSU,0.044001546090601286,0.025073927153676193
Jana Schimke,CDU/CSU,0.03873471156519219,0.022652564528425814
Jens Koeppen,CDU/CSU,0.026377378473898656,-0.012369157242517678
Jens Lehmann,CDU/CSU,0.054719817377978486,0.034142704064901386
Jens Spahn,CDU/CSU,0.0497467175986819,0.020811711814931487
Johann Wadephul,CDU/CSU,0.04916134940619522,0.032386232778866944
Johannes Steiniger,CDU/CSU,0.05590316939307819,0.035886327969241356
Jonas Geissler,CDU/CSU,0.05069715270474312,0.031624548512521146
Josef Oster,CDU/CSU,0.05131724393910848,0.03272008128375934
Josef Rief,CDU/CSU,0.05481490650529329,0.035448716473791844
Julia Klöckner,CDU/CSU,0.05159439892109307,0.03380966075753974
Jürgen Hardt,CDU/CSU,0.05174499579053,0.03258087362223217
Kai Whittaker,CDU/CSU,0.050558684605288166,0.033510906262598714
Katja Leikert,CDU/CSU,0.052010526722406324,0.027483418622452016
Katrin Staffler,CDU/CSU,0.04331133521231347,0.024932697793765824
Kerstin Radomski,CDU/CSU,0.051462915012165586,0.03084334742817772
Kerstin Vieregge,CDU/CSU,0.05037721102529545,0.035577775935929035
Klaus Mack,CDU/CSU,0.05587578290313433,0.03431078391321869
Klaus Wiener,CDU/CSU,0.055671086741463836,0.031332251503922985
Klaus-Peter Willsch,CDU/CSU,0.04549235853216488,0.0287082723895034
Knut Abraham,CDU/CSU,0.0582357894760521,0.035057575568965216
Lars Rohwer,CDU/CSU,0.05722867177013292,0.03583296210854923
Manfred Grund,CDU/CSU,0.038108474494797845,0.016030488261575538
Marc Biadacz,CDU/CSU,0.056759741083255204,0.035576273930097095
Marc Henrichmann,CDU/CSU,0.056691149497230316,0.03439169959790248
Marco Wanderwitz,CDU/CSU,0.046040951744346914,0.035713802559669015
Mareike Lotte Wulf,CDU/CSU,0.05710417623777717,0.033129793606335084
Maria-Lena Weiss,CDU/CSU,0.051772827805530136,0.033575819966888555
Mario Czaja,CDU/CSU,0.05088561671463323,0.023422720817493557
Mark Helfrich,CDU/CSU,0.05202679095259797,0.02987205728619344
Markus Grübel,CDU/CSU,0.05078370605538522,0.03248485044684834
Markus Koob,CDU/CSU,0.05214050548079826,0.034912123256675705
Markus Reichel,CDU/CSU,0.05842995185123224,0.03686114088745095
Markus Uhl,CDU/CSU,0.05673821881391942,0.03556947517329132
Marlon Bröhr,CDU/CSU,0.05421357142433638,0.03235023370550234
Martin Plum,CDU/CSU,0.05726497424214452,0.03811942705989911
Martina Englhardt-Kopf,CDU/CSU,0.05644620180442192,0.037424027617073016
Mathias Middelberg,CDU/CSU,0.0513884754850946,0.03231985264180289
Matthias Hauer,CDU/CSU,0.058508078444458815,0.03738726915604802
Max Straubinger,CDU/CSU,0.052981540296880174,0.026021148601146498
Maximilian Mörseburg,CDU/CSU,0.0565145070830722,0.03604964920671405
Mechthild Heil,CDU/CSU,0.042453810549676924,0.025302793459142
Mechthilde Wittmann,CDU/CSU,0.05628613665985853,0.0355768930633178
Melanie Bernstein,CDU/CSU,0.03305931358837285,0.016234555606521137
Michael Brand,CDU/CSU,0.04686754562711646,0.03235541044786016
Michael Breilmann,CDU/CSU,0.05091758341317507,0.033276444175780025
Michael Donth,CDU/CSU,0.056999386705582675,0.03516753107050816
Michael Frieser,CDU/CSU,0.04504501741338284,0.023886707532425173
Michael Grosse-Brömer,CDU/CSU,0.04867821990209394,0.03056369618405991
Michael Hennrich,CDU/CSU,0.02155878497519345,0.01679981380539231
Michael Kießling,CDU/CSU,0.05655841229145179,0.03523654758085113
Michael Meister,CDU/CSU,0.058489576261659265,0.03598228886927065
Monika Grütters,CDU/CSU,0.04802319345700548,0.03124174903495639
Moritz Oppelt,CDU/CSU,0.05020871718694011,0.03414766031842797
Nadine Schön,CDU/CSU,0.05039441421210665,0.025722601586830398
Nicolas Zippelius,CDU/CSU,0.050469285578756275,0.03248379332290972
Nina Warken,CDU/CSU,0.05195280957692468,0.032230337909592524
Norbert Maria Altenkamp,CDU/CSU,0.053230472963293515,0.03414450415102508
Norbert Röttgen,CDU/CSU,0.05064676279549176,0.03289498813939312
Olav Gutting,CDU/CSU,0.05326461060504264,0.023643692003960423
Oliver Grundmann,CDU/CSU,0.0513820523443711,0.035743622799562884
