name,party,irt,svd_imp,svd_dc
Martin Hess,AfD,1.4855969791281596,0.012032531278288187,0.02689304319198384
Martin Kröber,SPD,-0.644802342161952,0.04274693620046391,-0.035568642776245926
Martin Plum,CDU/CSU,0.9594351119484632,0.029179442727851824,0.05726497424214452
Martin Rabanus,SPD,-0.7990841107788329,0.0432728692028386,-0.0094701889685230509
Martin Reichardt,AfD,1.5248787335949239,0.012471753199647488,0.026730352514426695
Martin Rosemann,SPD,-1.023440532732518,0.0433092120941415,-0.03270462219368659
Martin Sichert,AfD,1.5612261436402675,0.008874989834767429,0.030577319894772716
Martina Englhardt-Kopf,CDU/CSU,0.9519466563619889,0.029043496825717257,0.05644620180442192
Martina Renner,DIE LINKE.,1.3222200883689794,0.015521213265212937,0.00468820388960344
Martina Stamm-Fibich,SPD,-1.0282535492225466,0.04327112785595696,-0.03380898744088058
Mathias Middelberg,CDU/CSU,0.9663383706390075,0.029838975386633996,0.0513884754850946
Mathias Papendieck,SPD,-0.942489269152213,0.04354572136214333,-0.03209411463471387
Mathias Stein,SPD,-1.9275852151927653,0.04312154725642794,-0.03532610039887394
Matthias Gastel,BÜNDNIS 90/DIE GRÜNEN,-0.5840704559455088,0.043126855460195665,-0.03539735485185062
Matthias Hauer,CDU/CSU,0.9592329074569179,0.029146365842098846,0.058508078444458815
Matthias Helferich,fraktionslos,1.4994995596573153,0.009675860433243413,0.031410582334889546
Matthias Miersch,SPD,-0.8485015173898237,0.043179298153747415,-0.03479416591567516
Matthias Mieves,SPD,-1.2028446114521663,0.0432241572589661,-0.035690111898739524
Matthias Moosdorf,AfD,1.4241661118633748,0.01322652323976218,0.027485815259182374
Matthias Seestern-Pauly,FDP,-0.04294052124012207,0.04274584071970695,-0.026025423312004782
Matthias W. Birkwald,DIE LINKE.,1.3445675956488328,0.012274423126336424,0.0048931157593531316
Max Lucks,BÜNDNIS 90/DIE GRÜNEN,-0.3724672606889889,0.04249216388341305,-0.03154670271339037
Max Mordhorst,FDP,-0.2140275597188703,0.042939056828093965,-0.025961530375373014
Max Straubinger,CDU/CSU,1.0236041351820881,0.02760373518024819,0.052981540296880174
Maximilian Funke-Kaiser,FDP,-0.48733314434336994,0.042912689924574664,-0.030430033666685292
Maximilian Mörseburg,CDU/CSU,0.9667887100367765,0.029784118639461243,0.0565145070830722
